"id_user";"username";"password";"first_name";"last_name";"registration_date"
1;"Tommy";"skasfa";"Marco";"Rossi";"2018-10-20"
2;"Jlo";"fgwee";"Dan";"Torn";"2014-11-01"
3;"Boss";"tmssh";"Thomas";"Shelby";"1993-10-21"
4;"Jimmy";"Jadad";"James";"Wilson";"2012-07-01"
5;"Ray";"faddas";"Ryan";" Phelps";"2011-11-03"
6;"Dom";"Dfcwewwedw";"Dominique";"Toretto";"2007-07-05"
7;"King";"dadjaodw";"Steve";"Harrington";"2007-04-02"
8;"Michael";"demoadas";"Mike";"Wheeler";"2012-12-05"
9;"Billy";"qweqwddqw";"Will";"Byers";"2008-03-02"
10;"William";"dk3ldqdw";"Billy";"Hargrove";"2017-06-01"
